UR,EF,EDO,Estado
621,01,AGS,Aguascalientes
622,02,BC,Baja California
623,03,BCS,Baja California Sur
624,04,CAM,Campeche
625,05,COA,Coahuila
626,06,COL,Colima
627,07,CHS,Chiapas
628,08,CHI,Chihuahua
630,10,DGO,Durango
631,11,GTO,Guanajuato
632,12,GRO,Guerrero
633,13,HGO,Hidalgo
634,14,JAL,Jalisco
635,15,MEX,Edo. de México
636,16,MICH,Michoacán
637,17,MOR,Morelos
638,18,NAY,Nayarit
639,19,NL,Nuevo León
640,20,OAX,Oaxaca
641,21,PUE,Puebla
642,22,QRO,Querétaro
643,23,QROO,Quintana Roo
644,24,SLP,San Luis Potosí
645,25,SIN,Sinaloa
646,26,SON,Sonora
647,27,TAB,Tabasco
648,28,TAM,Tamaulipas
649,29,TLX,Tlaxcala
650,30,VER,Veracruz
651,31,YUC,Yucatán
652,32,ZAC,Zacatecas
210,09,OC,Oficinas Centrales
