clave_presupuestal,nom_obra
24092100003,Programa de Conservación de Infraestructura de Caminos Rurales y Carreteras Alimentadoras
24092100004,Programa de Estudios y Proyectos de Caminos Rurales y Carreteras Alimentadoras
25096260002,Construcción del Paso Superior Vehicular Arco Norte
25096260001,Construcción del Paso Superior Vehicular Arco Sur
25096260004,"Construcción del Puente Vehicular La Presa, sobre el Camino: Ixtlahuacán - Las Presas"
25096260003,Construcción de Puente Vehicular El Chical
0,Programa de Caminos Artesanales
24096280001,Camino Lim. Edos. Chi. / Son. - Pancho Villa - E.C. (Janos - Monte Verde) Tramo del Km. 18+093.16 AT=21+430.54 AD al Km. 70+166.18
22096300001,Camino Tayoltita - Lim. Edos. Dgo/Sin
23096320001,Igualapa - Chilixtlahuaca - Alacatlalzala
25096370001,Construcción del Puente Vehicular Jojutla
25096370002,Camino Cocoyoc – Ex-Hacienda El Hospital (Obra con terminación anticipada)
22096450001,Camino Vado Hondo - Lim. Edos. Sin/Dgo
23096460001,Camino E.C. (Agua Prieta - Bavispe) - Lim. Edos. Son. /Chi. Tramo del Km. 0+000 al Km. 21+400
25096460001,Guaymas - Chihuahua: tramo: Esperanza - Hornos
24092100006,"Atención de las obras de emergencia en caminos Rurales y Alimentadores por la Tormenta Tropical Nadine, en el estado de Veracruz"
